Exp. #,Experiment,ethane,Ethene,PROPANE,Propene,I-BUTANE,N-BUTANE,ETHYNE,1-Butene,t-2-Butene,c-2-Butene,cycopentane,I-PENTANE,N-PENTANE,t-2-pentene,1-pentene,cis-2-pentene,n-Hexane,isoprene,1-hexene,"2,4 dimethylpentane",n-Heptane,Benzene,cyclohexane,"2,3-dmp",2-methylhexane,3-methylhexane,"2,2,4-tmp",methylcyclohexane,"2,3,4 tmp",Toluene,2-methylheptane,3-methylheptane,n-octane,Ethylbenzene,m+p-xylene,Styrene,o-xylene,n-nonane,I-propylbenzene,n-propylbenzene,3-ethyltoluene,4-ethyltoluene,"1,3,5-trimethylbenzene",2-ethyltoluene,"1,2,4-trimethylbenzene",n-decane,"1,2,3-trimethylbenzene","1,3-diethylbenzene","1,4-diethylbenzene",C2HCl3,C2Cl4,acetonitrile,Acetaldehyde,Acetone,Isopropanol,Methylethylketone,a-pinene,b-pinene,limonene,Camphene
3,062123-1200-CXDP
24,071023-1500-PUFP,511.25594467493113,500.5454956444413,1949.0046073542142,8229.481590411053,4741.29523294211,784.9840403763175,119.63156239549416,17.45589691464938,43.59933511783953,12.627240244972064,17.226625299505315,44.19048890053747,89.91374608157562,11.77068532194938,14.902799012768524,5.7085297913316735,80.74245299131059,91.68580315272895,NA,1.1104373917256571,3.8965444458382374,23.06262022850856,5.575858026850121,2.320319195095767,4.365572943948395,1.2627690333735029,3.0425928362205386,1.7677686254197922,1.7666668081280545,67.11695547789418,0.2878911756325778,NA,39.770109548100386,6.613571876611008,27.48646346406541,111.97916765041035,7.683976573403543,1.9858564349817145,1.5580992760803594,2.5535515913539224,5.122845487281295,1.4498619303626308,3.8519676547542225,2.5614227436406476,8.482984947548626,20.79974676240749,1.644660346973713,2.0781354335197704,3.8179697499549277,11743.30372196566,346.3004546510312,9223.128354808077,8365.809217072978,6289.457413306634,1554.8099553864122,46.60667340143458,9.614990592795548,0.8339532657016546,8.633869103734776,0.9811214890607701
25,071023-1600-XPSB,292.40533176573325,1539.7279655327086,50.27567561313338,131.75974688962208,37.00896165357613,65.34494435559621,3941.4495223912654,7.326406449592793,10.240551311895807,269.2916118530998,20.987635001427684,136.1923514070769,128.4868356909625,4.900535801066856,4.233447157989692,2.5913828057997508,84.31654450438243,49.82957219849376,NA,4.344682241612181,9.345239278066018,10424.687015754875,NA,2.392082804429513,2.1255838357954078,1.2460319037421355,3.0407194369560737,2.513898991426212,1.096652911689076,3443.5399869058365,NA,1.2114979327572428,8.52226132008543,501.1983713726795,19.29926323485099,37460.44094902202,NA,2.345544968503673,42.995781397073195,16.266297665559392,7.60906784332563,2.7981733359326513,1.6705927332196133,3.829079301802576,5.803111599604973,10.719970755099446,2.4179631665020715,2.0618119317398484,3.9272608223616157,NA,661.0676916860037,9491.20433728101,404.45607471922335,677.1951219706743,384.917754623798,15.50798403791273,NA,0.9965914439698752,4.883298075452389,0.7972731551759001
26,071123-1130-BLKB,328.8371088682525,16.301495347425497,64.66286585022787,6.2907652540080905,18.710641942883367,40.843420298123085,6.58102332718455,0.7723137382021201,1.2228300854866907,1.1799237666976838,9.253323834894339,50.647732075840885,38.48234544978107,0.34867597059022143,0.8851005407290238,0.6973519411804429,210.9469013885287,42.271158451945126,NA,5.502546125843195,6.51279838043076,6.7792786602950805,2.3489813991948365,3.4567153418811833,4.712201181135198,3.2947097689237954,8.181155261783408,1.6143091427676022,0.7816390377500072,30.0854886302717,0.8297490189763549,0.7424070169788437,6.0265981378282625,5.601855404423275,8.19981733111233,21.62270855745991,4.911771767646495,3.1385004871163056,1.194892420953517,1.6085090282066579,2.822480270293408,1.9500772776572637,1.8382960322361805,1.847441631464776,3.1251032548015063,6.691137565388383,1.3787220241771352,1.4882168697910698,2.001395100753508,72650.18373036757,2168.2732287514136,1418.6646067746524,185.51601425194283,303.9386049563269,479.68037091162836,18.44474282149846,1.1980734989460724,2.1877863893797844,3.9067614096067573,1.4064341074584328
27,071223-0930-CELB,525.0717483903472,2460.67085000271,82.66392321997061,592.4633412409847,50.5536703214007,67.8512353293311,1509.7405245044522,28.715257310845406,167.56571185007726,25.21856546118526,7.7894743957027845,63.81993749333045,86.57384347408663,17.40709074141745,39.23881489808104,19.7121392870846,21634.67069475045,67.12462411131779,NA,6.643486013134367,46.47284248543628,985.5763263063644,104.7355925419306,8.10070438784959,3.6330560900666806,7.303956514404888,81.33064692843446,11.496406252071967,2.4193293706559613,308.29469946784894,11.518251724070625,16.479296474138494,76.8746238662691,51.607582154547394,61.63236501285109,357.29072040728755,28.22978852898319,3.6331693964567138,5.447771232859468,6.491927385824199,18.80720647243494,6.336659862680237,5.447771232859468,5.880420352567259,19.24879168943679,76.6833324648535,4.630605547930548,1.87565131935335,3.1936765707908386,14660.521185702799,325.6667369890693,94102.42163536845,1069.3364964036782,492.8606792428043,973.9933992948621,68.36004900442009,15.385406369707948,1.6980548836132516,7.769887497745484,1.286405214858524
28,071223-1100-PUFB,968.1952277847251,8775.069861032827,362.8585178829006,7065.521733069996,161.52619153315143,96.86039044380256,17409.994650967066,37.61377907060746,301.6292288878915,32.88894609068407,8.244248314015307,90.1816565363088,82.65331086763626,18.003794604749938,27.480827713384354,16.257349479039533,91.37416128130091,86.89026904541973,NA,11.081699928418166,20.433429937753942,12123.02357165606,13.89634619569082,7.113027676522381,9.538046290513511,1.724185290977442,28.591501937633627,11.144159267323493,1.7464268199252655,1536.849055385467,3.1781479039991725,5.854482981051108,55.61758831998551,69.3449794411275,152.02254181292022,906.1820374748842,40.58080635456116,8.875062008859922,2.552412233953017,4.7967747155323925,23.832924073379036,21.13022134340822,15.57851604860979,5.503685559213304,27.416427961253948,26.8789261755934,5.060817360424084,4.47174451686081,5.896805956299969,NA,570.6674749498592,40059.58604540446,3139.6654641673663,2401.3647863972683,794.6143362478042,72.31125252673333,NA,1.9453045308676056,2.2944617543566634,0.9975920671115927
29,071223-1330-JSGB,4113.673863363002,8321.91909827574,902.1319800647179,3093.985291036495,164.9630869423514,415.72614691891636,7309.987220351214,181.69529558575897,589.5902468727447,141.90969298773152,15.818752327981562,261.92215860150384,198.15187606214158,90.80600056647552,68.79855902791249,93.9292642802269,540.7273875390907,468.13106730194704,NA,29.429263795230742,104.05264245307177,5169.676318898554,14.571767791599088,11.141619363374645,39.90268067076908,32.05432732972754,65.62420557629183,43.43343791467171,0.3932957525976393,1694.7506067301942,119.3180071313835,39.317496430428264,314.775405553788,256.9195444722078,278.19090709801577,853.5576893231005,96.64026476910303,13.165816791731007,21.158728572869702,14.56830491902504,105.7943189489939,44.929386499258925,22.79394647194394,37.23827230788333,65.95378859599431,192.5039556286714,19.176646270961534,6.750474326243334,12.228318246719484,30733.682958980957,622.0646577479106,249837.82181435122,5685.60252649049,2680.9302226326367,673.8088785336821,561.664055285682,NA,1.123289903543964,2.1342508167335317,1.404112379429955
30,071223-1530-OSBB
31,071323-1030-BLKP,202.34531421539947,34.16520772636962,100.47075882714563,21.05039345602786,61.64545795628573,138.50054496802952,21.75819456695088,9.277595874280182,6.232278144554626,10.127451984901267,14.137278733575476,170.96279665119374,150.80667147782856,10.329953145618823,6.2865143429051695,5.430603939411038,921.5807839620016,85.00577240432372,NA,6.8719632015411545,31.744268926130847,34.01336656598864,24.715180205731613,16.02443001095876,7.714742647386381,11.803977821137632,23.91127192865225,39.08058250697172,1.7202353905505214,99.86118115014487,17.828659774627752,42.86567255786511,344.27093969119466,12.953956883673827,65.30581022045219,14.241156767651567,18.448221355025137,7.770632311406907,1.5171494162753885,4.0963034239435485,10.842291894974116,8.752891894380147,4.0963034239435485,4.856443244623822,16.739215226238453,267.9992525869895,4.248018365571088,1.5246972977307351,2.541162162884558,36663.89180924435,1758.085870330277,520506.72568630823,190.3536785589481,320.94177603150416,783.430672741006,30.733185187165077,9.457823632308438,2.235485585818358,4.184370455506157,0.9171222916177878
32,071423-0930-TRXP,217.5243354586699,695.7714689159895,122.49818227157738,1307.6760298543606,60.21541260571617,52.472493585584125,210.63671543307154,21.327379262163863,125.59925925876304,19.405803506859993,5.121595259607,31.03547633509029,296.94135538105644,37.32956544888814,71.96633339014787,37.64636515566795,153.76315963444807,49.11860155085684,NA,43.50092760571525,124.02448848538933,764.3446697090129,25.496317384989652,NA,NA,NA,28.722872345844273,6.651439032511043,6.975554712562181,762.9673549467503,10.445380838131229,8.854931903930177,103.37918072306832,420.89230027093737,48.825744345081205,7001.08271744457,35.76026283866423,9.4606975014843,46.50219273945337,314.3421569518107,12.375397811566572,5.2532300914405035,119.01485320768654,14.446382751461382,23.929630310477464,35.17912843712904,4.206910432654827,6.1119311640798175,8.637522554195444,1034.1090585407512,112.32728591210726,75377.91648423641,9884.860583731463,1902.463572965018,353.56141872720576,140.24708718371585,NA,BL,NA,0.4614482400393647
33,071423-1100-TRXB,580.8437041632202,6905.155233997575,49.81007350274301,2084.121129673041,16.016791430785574,38.90096880126882,15242.22617965121,25.490061953883615,191.75197655615358,24.15173075275079,4.170159513327871,33.22691640951843,67.51285804324462,20.567638587339314,30.761361842140776,19.615194747875538,851.4439212992298,128.48361161586527,NA,18.064643845455095,6.140364756326443,87795.18565771934,124.21034575898307,NA,1.838432561774384,1.2133654907710933,7.001675915806849,4.395791332406479,0.6001436499263013,4614.324218450285,0.41913326787598837,0.6706132286015812,11.819558154102868,337.6997177454144,115.63137543474737,3469.287519522519,32.18042995589666,1.553156265931142,8.51278675201182,16.540388766862346,11.18029001720324,10.835523364690363,8.248140531742022,7.190847323839967,11.909079912140891,24.068817811167378,3.7491547871554656,1.32981423112109,3.3984141461983417,1096.4309051692424,401.5973366859535,7498.382010755579,1444.8587539293414,408.3282456120034,642.7153997768926,23.947162013322057,NA,BL,NA,0.49993623196834747
