0,dco2,dco,dch4,dnox,pre_exp_min,post_exp_min,ch4_offset_min,co_offset_min,notes
8,166.35297731335072,64.32303737568175,10.12749725010312,11.871180782803982,pre_exp_min,10,3,5,good
7,-30.668111642119925,0.12420168067226889,0.0,-8.917168600394705,pre_exp_min,8,3,5,good blank
6,483.59038229376256,10.59768779342723,1.7061313249869592,1.2321159363588947,pre_exp_min,4.5,0,35,"good, long reach to CO bg"
5,336.18210900473923,0.20622807017543854,33.78436018957346,129.92670166346682,pre_exp_min,10,3,5,good
18,531.330532459318,12.16545128706419,2.3746314648733993,50.17018195060058,pre_exp_min,20,3,5,good
19,107.80190540676824,48.58199033037873,7.078218118229404,-12.752693128442687,pre_exp_min,20,3,5,good
22,20.69265590446696,0.15039473684210525,0.1507322506715303,0.0,10,10,0,0,good
27,198.72629644864946,7.657020738492665,3.339324499030381,43.062720116892905,5,20,6,10,good
34,3.8234442056838702,6.914992877492877,0.07664532954006642,-12.72521752015173,10,20,0,10,good
78,25.685945148665382,-0.004962029177579335,1.4692549376586117,209.28063999917248,10,20,5,10,good
